"vendor","source","source_product_id","title","description","category","brand","sku","price_usd","discount_percentage","rating","stock","availability_status","minimum_order_quantity","tags","weight","dimensions","warranty_information","shipping_information","return_policy","thumbnail_url","image_urls","local_image_paths"
"Super Store Vendor","DummyJSON product catalog sample data","11","Annibale Colombo Bed","The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.","furniture","Annibale Colombo","FUR-ANN-ANN-011","1899.99","8.57","4.77","88","In Stock","1","furniture; beds","10","W:28.16 H:25.36 D:17.28","1 year warranty","Ships in 1 month","No return policy","https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp","https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp; https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/2.webp; https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/3.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\annibale-colombo-bed\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\annibale-colombo-bed\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\annibale-colombo-bed\03.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\annibale-colombo-bed\04.webp"
"Super Store Vendor","DummyJSON product catalog sample data","12","Annibale Colombo Sofa","The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.","furniture","Annibale Colombo","FUR-ANN-ANN-012","2499.99","14.4","3.92","60","In Stock","1","furniture; sofas","6","W:12.75 H:20.55 D:19.06","Lifetime warranty","Ships in 1 week","7 days return policy","https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp","https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/1.webp; https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/2.webp; https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/3.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\annibale-colombo-sofa\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\annibale-colombo-sofa\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\annibale-colombo-sofa\03.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\annibale-colombo-sofa\04.webp"
"Super Store Vendor","DummyJSON product catalog sample data","13","Bedside Table African Cherry","The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.","furniture","Furniture Co.","FUR-FUR-BED-013","299.99","19.09","2.87","64","In Stock","3","furniture; bedside tables","2","W:13.47 H:24.99 D:27.35","5 year warranty","Ships overnight","7 days return policy","https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp","https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/1.webp; https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/2.webp; https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/3.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\bedside-table-african-cherry\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\bedside-table-african-cherry\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\bedside-table-african-cherry\03.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\bedside-table-african-cherry\04.webp"
"Super Store Vendor","DummyJSON product catalog sample data","14","Knoll Saarinen Executive Conference Chair","The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.","furniture","Knoll","FUR-KNO-KNO-014","499.99","2.01","4.88","26","In Stock","5","furniture; office chairs","10","W:13.81 H:7.5 D:5.62","2 year warranty","Ships overnight","60 days return policy","https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp","https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/1.webp; https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/2.webp; https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/3.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\knoll-saarinen-executive-conference-chair\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\knoll-saarinen-executive-conference-chair\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\knoll-saarinen-executive-conference-chair\03.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\knoll-saarinen-executive-conference-chair\04.webp"
"Super Store Vendor","DummyJSON product catalog sample data","15","Wooden Bathroom Sink With Mirror","The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.","furniture","Bath Trends","FUR-BAT-WOO-015","799.99","8.8","3.59","7","Low Stock","2","furniture; bathroom","10","W:7.98 H:8.88 D:28.46","3 year warranty","Ships in 3-5 business days","60 days return policy","https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp","https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/1.webp; https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/2.webp; https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/3.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\wooden-bathroom-sink-with-mirror\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\wooden-bathroom-sink-with-mirror\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\wooden-bathroom-sink-with-mirror\03.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\wooden-bathroom-sink-with-mirror\04.webp"
"Super Store Vendor","DummyJSON product catalog sample data","16","Apple","Fresh and crisp apples, perfect for snacking or incorporating into various recipes.","groceries",,"GRO-BRD-APP-016","1.99","12.62","4.19","8","In Stock","7","fruits","9","W:13.66 H:11.01 D:9.73","3 year warranty","Ships in 2 weeks","90 days return policy","https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/apple/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\apple\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\apple\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","17","Beef Steak","High-quality beef steak, great for grilling or cooking to your preferred level of doneness.","groceries",,"GRO-BRD-BEE-017","12.99","9.61","4.47","86","In Stock","43","meat","10","W:18.9 H:5.77 D:18.57","3 year warranty","Ships overnight","60 days return policy","https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/beef-steak/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\beef-steak\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\beef-steak\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","18","Cat Food","Nutritious cat food formulated to meet the dietary needs of your feline friend.","groceries",,"GRO-BRD-FOO-018","8.99","9.58","3.13","46","In Stock","18","pet supplies; cat food","10","W:18.08 H:9.26 D:21.86","1 year warranty","Ships overnight","No return policy","https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/cat-food/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\cat-food\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\cat-food\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","19","Chicken Meat","Fresh and tender chicken meat, suitable for various culinary preparations.","groceries",,"GRO-BRD-CHI-019","9.99","13.7","3.19","97","In Stock","22","meat","1","W:11.03 H:22.11 D:16.01","1 year warranty","Ships in 1 month","7 days return policy","https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/chicken-meat/1.webp; https://cdn.dummyjson.com/product-images/groceries/chicken-meat/2.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\chicken-meat\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\chicken-meat\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\chicken-meat\03.webp"
"Super Store Vendor","DummyJSON product catalog sample data","20","Cooking Oil","Versatile cooking oil suitable for frying, sautéing, and various culinary applications.","groceries",,"GRO-BRD-COO-020","4.99","9.33","4.8","10","In Stock","46","cooking essentials","5","W:19.95 H:27.54 D:24.86","Lifetime warranty","Ships in 1-2 business days","30 days return policy","https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/cooking-oil/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\cooking-oil\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\cooking-oil\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","21","Cucumber","Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.","groceries",,"GRO-BRD-CUC-021","1.49","0.16","4.07","84","In Stock","2","vegetables","4","W:12.8 H:28.38 D:21.34","2 year warranty","Ships in 1-2 business days","7 days return policy","https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/cucumber/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\cucumber\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\cucumber\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","22","Dog Food","Specially formulated dog food designed to provide essential nutrients for your canine companion.","groceries",,"GRO-BRD-FOO-022","10.99","10.27","4.55","71","In Stock","43","pet supplies; dog food","10","W:16.93 H:27.15 D:9.29","No warranty","Ships in 1-2 business days","60 days return policy","https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/dog-food/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\dog-food\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\dog-food\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","23","Eggs","Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.","groceries",,"GRO-BRD-EGG-023","2.99","11.05","2.53","9","In Stock","32","dairy","2","W:11.42 H:7.44 D:16.95","1 week warranty","Ships in 1 week","No return policy","https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/eggs/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\eggs\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\eggs\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","24","Fish Steak","Quality fish steak, suitable for grilling, baking, or pan-searing.","groceries",,"GRO-BRD-FIS-024","14.99","4.23","3.78","74","In Stock","50","seafood","6","W:14.95 H:26.31 D:11.27","1 month warranty","Ships in 3-5 business days","60 days return policy","https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/fish-steak/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\fish-steak\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\fish-steak\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","25","Green Bell Pepper","Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.","groceries",,"GRO-BRD-GRE-025","1.29","0.16","3.25","33","In Stock","12","vegetables","2","W:15.33 H:26.65 D:14.44","1 month warranty","Ships in 1 week","30 days return policy","https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\green-bell-pepper\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\green-bell-pepper\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","26","Green Chili Pepper","Spicy green chili pepper, ideal for adding heat to your favorite recipes.","groceries",,"GRO-BRD-GRE-026","0.99","1","3.66","3","Low Stock","39","vegetables","7","W:15.38 H:18.12 D:19.92","2 year warranty","Ships in 1 week","30 days return policy","https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\green-chili-pepper\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\green-chili-pepper\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","27","Honey Jar","Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.","groceries",,"GRO-BRD-HON-027","6.99","14.4","3.97","34","In Stock","47","condiments","2","W:9.28 H:21.72 D:17.74","1 month warranty","Ships in 1-2 business days","90 days return policy","https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/honey-jar/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\honey-jar\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\honey-jar\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","28","Ice Cream","Creamy and delicious ice cream, available in various flavors for a delightful treat.","groceries",,"GRO-BRD-CRE-028","5.49","8.69","3.39","27","In Stock","42","desserts","1","W:14.83 H:15.07 D:24.2","1 month warranty","Ships in 2 weeks","No return policy","https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/ice-cream/1.webp; https://cdn.dummyjson.com/product-images/groceries/ice-cream/2.webp; https://cdn.dummyjson.com/product-images/groceries/ice-cream/3.webp; https://cdn.dummyjson.com/product-images/groceries/ice-cream/4.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\ice-cream\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\ice-cream\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\ice-cream\03.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\ice-cream\04.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\ice-cream\05.webp"
"Super Store Vendor","DummyJSON product catalog sample data","29","Juice","Refreshing fruit juice, packed with vitamins and great for staying hydrated.","groceries",,"GRO-BRD-JUI-029","3.99","12.06","3.94","50","In Stock","25","beverages","1","W:18.56 H:21.46 D:28.02","6 months warranty","Ships in 1 week","No return policy","https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/juice/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\juice\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\juice\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","30","Kiwi","Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.","groceries",,"GRO-BRD-KIW-030","2.49","15.22","4.93","99","In Stock","30","fruits","5","W:19.4 H:18.67 D:17.13","6 months warranty","Ships overnight","7 days return policy","https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/kiwi/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\kiwi\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\kiwi\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","31","Lemon","Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.","groceries",,"GRO-BRD-LEM-031","0.79","9.7","3.53","31","In Stock","29","fruits","3","W:23.77 H:9.22 D:12.05","No warranty","Ships in 1 month","7 days return policy","https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/lemon/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\lemon\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\lemon\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","32","Milk","Fresh and nutritious milk, a staple for various recipes and daily consumption.","groceries",,"GRO-BRD-MIL-032","3.49","13.74","2.61","27","In Stock","5","dairy","5","W:12.92 H:15.76 D:11.29","3 year warranty","Ships in 2 weeks","7 days return policy","https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/milk/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\milk\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\milk\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","33","Mulberry","Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.","groceries",,"GRO-BRD-MUL-033","4.99","12.87","4.95","99","In Stock","43","fruits","5","W:12.8 H:18.54 D:6.31","2 year warranty","Ships in 1 week","No return policy","https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/mulberry/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\mulberry\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\mulberry\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","34","Nescafe Coffee","Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.","groceries",,"GRO-BRD-NES-034","7.99","1.59","4.82","57","In Stock","8","beverages; coffee","6","W:20.54 H:29.49 D:29.2","1 year warranty","Ships in 1-2 business days","30 days return policy","https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp","https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\nescafe-coffee\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\nescafe-coffee\02.webp"
